city,region,magnitude,url,place,date,intensity,significance,tsunami,latitude,longitude,depth_km
Vallenar,Chile,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000bg4v,"94 km NW of Vallenar, Chile",2020-09-01,5.875,674,0,-27.9162,-71.3701,16.0
Vallenar,Chile,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us7000bfjr,"86 km NW of Vallenar, Chile",2020-09-01,6.813,823,1,-27.9686,-71.3062,21.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000bf3k,central Mid-Atlantic Ridge,2020-08-30,4.817,651,0,0.7821,-29.8656,10.0
Katabu,Indonesia,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000bi4p,"222 km SSE of Katabu, Indonesia",2020-08-21,2.756,749,0,-6.71,123.4649,624.0
Bengkulu,Indonesia,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000bgvu,"122 km WSW of Bengkulu, Indonesia",2020-08-18,4.414,735,0,-4.2069,101.2411,26.0
Bengkulu,Indonesia,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000bgvl,"138 km WSW of Bengkulu, Indonesia",2020-08-18,4.175,716,0,-4.3217,101.1347,22.0
San Pedro,Philippines,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000bgbr,"13 km E of San Pedro, Philippines",2020-08-18,8.308,783,1,12.0257,124.1272,10.0
Perryville,Alaska,7.8,https://earthquake.usgs.gov/earthquakes/eventpage/us7000asvb,"99 km SSE of Perryville, Alaska",2020-07-22,6.501,1111,1,55.0715,-158.596,28.0
Popondetta,Papua New Guinea,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000aq3e,"114 km NNW of Popondetta, Papua New Guinea",2020-07-17,7.003,820,1,-7.836,147.7704,73.0
Java Sea,Java Sea,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000aj3w,Java Sea,2020-07-06,2.453,684,0,-5.6023,110.6893,533.76
Santa Maria Xadani,Mexico,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ah9t,"9 km SE of Santa María Xadani, Mexico",2020-06-23,7.658,1493,1,15.8861,-96.0077,20.0
the Kermadec Islands,the Kermadec Islands,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ae4n,south of the Kermadec Islands,2020-06-18,6.954,873,1,-33.2927,-177.8571,10.0
Naze,Japan,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000abcq,"130 km WNW of Naze, Japan",2020-06-13,4.353,734,1,28.8591,128.2713,165.0
San Pedro de Atacama,Chile,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000a4yi,"48 km SW of San Pedro de Atacama, Chile",2020-06-03,6.426,835,1,-23.274,-68.4677,112.0
Monte Cristo Range,NV Earthquake,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/nn00725272,"Monte Cristo Range, NV Earthquake",2020-05-15,8.052,1320,0,38.1689,-117.8497,2.7
Lata,Solomon Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70009f12,"175 km SSE of Lata, Solomon Islands",2020-05-12,5.723,671,1,-12.0665,166.6485,107.0
Banda Sea,Banda Sea,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70009b14,Banda Sea,2020-05-06,6.362,738,0,-6.7761,129.7852,96.0
Nea Anatoli,Greece,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us700098qd,"91 km S of Néa Anatolí, Greece",2020-05-02,5.626,678,0,34.1818,25.7101,10.0
Bonin Islands,Japan ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70008z89,"Bonin Islands, Japan region",2020-04-18,0.0,686,1,27.1264,140.1349,453.0
Stanley,Idaho,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70008jr5,"Stanley, Idaho",2020-03-31,8.185,1410,0,44.4646,-115.1175,12.06
Severo Kuril sk,Russia,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70008fi4,"221 km SSE of Severo-Kuril’sk, Russia",2020-03-25,5.293,881,1,48.9638,157.6955,57.8
Kuril sk,Russia,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us70007pa9,"95 km ENE of Kuril’sk, Russia",2020-02-13,6.255,770,1,45.6161,148.959,143.0
Lucea,Jamaica,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/us60007idc,"123 km NNW of Lucea, Jamaica",2020-01-28,6.042,1812,1,19.4193,-78.756,14.86
Do anyol,Turkey,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us60007ewc,"13 km N of Do?anyol, Turkey",2020-01-24,9.329,1247,0,38.4312,39.0609,10.0
Magsaysay,Philippines,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us60006rp9,"7 km S of Magsaysay, Philippines",2019-12-15,7.134,832,1,6.6969,125.1739,18.0
Ternate,Indonesia,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60006bjl,"141 km NW of Ternate, Indonesia",2019-11-14,6.459,799,1,1.6213,126.4156,33.0
Fiji ,Fiji ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000693m,Fiji region,2019-11-08,2.458,650,0,-21.9449,-179.5113,577.0
Neiafu,Tonga,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000635e,"136 km W of Neiafu, Tonga",2019-11-04,4.311,673,1,-18.5747,-175.272,10.0
Bulatukan,Philippines,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us700061e9,"2 km ENE of Bulatukan, Philippines",2019-10-31,6.919,733,1,6.9098,125.1782,10.0
Columbio,Philippines,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000645n,"10 km NE of Columbio, Philippines",2019-10-29,7.424,780,1,6.7567,125.0082,15.0
Constitucion,Chile,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us70005nie,"70 km WSW of Constitución, Chile",2019-09-29,6.33,945,1,-35.4758,-73.163,11.0
Ambon,Indonesia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70005lfd,"33 km NE of Ambon, Indonesia",2019-09-25,6.918,656,0,-3.4528,128.3699,12.26
Fiji ,Fiji ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70005axg,Fiji region,2019-09-01,2.61,671,1,-20.3641,-178.5701,591.0
South Sandwich Islands ,South Sandwich Islands ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us700058yy,South Sandwich Islands region,2019-08-27,4.012,670,1,-60.2152,-26.5801,16.0
Labuan,Indonesia,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us60004zhq,"152 km SW of Labuan, Indonesia",2019-08-02,5.676,875,0,-7.2822,104.7907,49.0
San Antonio,Chile,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us60004yps,"96 km SW of San Antonio, Chile",2019-08-01,5.989,947,1,-34.2364,-72.3102,25.0
Lakatoro,Vanuatu,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60004xz4,"63 km E of Lakatoro, Vanuatu",2019-07-31,4.473,670,1,-16.1985,167.9982,181.0
ifi,Indonesia,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70004jyv,"155 km SSE of Sofifi, Indonesia",2019-07-14,6.81,809,0,-0.5858,128.034,18.98
Cable Beach,Australia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70004jxe,"198 km W of Cable Beach, Australia",2019-07-14,5.342,791,0,-18.2242,120.3584,10.0
Ternate,Indonesia,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us70004dz3,"136 km WSW of Ternate, Indonesia",2019-07-07,4.962,747,0,0.5126,126.1892,35.0
2019 Ridgecrest Earthquake Sequence,2019 Ridgecrest Earthquake Sequence,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/ci38457511,2019 Ridgecrest Earthquake Sequence,2019-07-06,8.73,1646,0,35.7695,-117.5993333,8.0
Banda Sea,Banda Sea,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600044zz,Banda Sea,2019-06-24,5.64,952,1,-6.4078,129.1692,212.0
Kermadec Islands,New Zealand,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000417i,"Kermadec Islands, New Zealand",2019-06-15,6.465,830,1,-30.6441,-178.0995,46.0
La Libertad,El Salvador,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70003t2n,"32 km S of La Libertad, El Salvador",2019-05-30,6.174,997,1,13.1994,-89.3056,57.92
Navarro,Peru,8.0,https://earthquake.usgs.gov/earthquakes/eventpage/us60003sc0,"78 km NE of Navarro, Peru",2019-05-26,7.945,1890,1,-5.8119,-75.2697,122.57
Kokopo,Papua New Guinea,7.6,https://earthquake.usgs.gov/earthquakes/eventpage/us70003kyy,"48 km NE of Kokopo, Papua New Guinea",2019-05-14,7.252,929,1,-4.051,152.5967,10.0
Bulolo,Papua New Guinea,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70003hqb,"32 km NW of Bulolo, Papua New Guinea",2019-05-06,6.159,826,1,-6.9746,146.4494,146.0
Sulawesi,Indonesia,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us700034xq,"Sulawesi, Indonesia",2019-04-12,6.36,717,0,-1.8146,122.5798,15.46
South Sandwich Islands ,South Sandwich Islands ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600032fg,South Sandwich Islands region,2019-04-09,4.797,650,1,-58.6262,-25.304,38.0
Azangaro,Peru,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000j96d,"22 km NNE of Azángaro, Peru",2019-03-01,4.423,872,1,-14.7131,-70.1546,267.0
Palora,Ecuador,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jlfv,"115 km ESE of Palora, Ecuador",2019-02-22,7.281,1145,1,-2.1862,-77.0505,145.0
Puerto Madero,Mexico,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbub,"5 km SW of Puerto Madero, Mexico",2019-02-01,6.071,909,1,14.6802,-92.4527,66.0
Prince Edward Islands ,Prince Edward Islands ,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j7dn,Prince Edward Islands region,2019-01-22,2.59,691,0,-43.1219,42.3568,13.0
Coquimbo,Chile,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j6hy,"10 km SSW of Coquimbo, Chile",2019-01-20,7.688,1600,1,-30.0404,-71.3815,63.0
Sola,Vanuatu,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j468,"94 km NW of Sola, Vanuatu",2019-01-15,3.804,671,1,-13.336,166.8752,35.0
Molucca Sea,Molucca Sea,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j0uj,Molucca Sea,2019-01-06,4.004,672,1,2.258,126.758,43.21
Tarauaca,Brazil,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j0ja,"90 km W of Tarauacá, Brazil",2019-01-05,2.84,715,0,-8.144,-71.587,570.41
Pondaguitan,Philippines,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us2000iyta,"96 km ESE of Pondaguitan, Philippines",2018-12-29,5.22,803,1,5.8983,126.9209,60.21
Ust  Kamchatsk Staryy,Russia,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us2000ivfw,"187 km SE of Ust’-Kamchatsk Staryy, Russia",2018-12-20,6.92,822,1,55.0999,164.6993,16.56
South Sandwich Islands ,South Sandwich Islands ,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us2000isc8,South Sandwich Islands region,2018-12-11,5.36,776,1,-58.5446,-26.3856,133.0
Tadine,New Caledonia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us1000i2k0,"199 km ESE of Tadine, New Caledonia",2018-12-05,4.14,670,1,-22.0629,169.7331,10.0
Tadine,New Caledonia,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000i2gt,"166 km ESE of Tadine, New Caledonia",2018-12-05,5.972,871,1,-21.9496,169.4266,10.0
Point MacKenzie,Alaska,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/ak018fcnsk91,"1 km SE of Point MacKenzie, Alaska",2018-11-30,7.696,1790,1,61.3464,-149.9552,46.7
Levuka,Fiji,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us1000htm5,"187 km E of Levuka, Fiji",2018-11-18,3.0,711,1,-17.8735,-178.9273,540.0
Olonkinbyen,Svalbard and Jan Mayen,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hpim,"120 km NW of Olonkinbyen, Svalbard and Jan Mayen",2018-11-09,4.31,693,1,71.6312,-11.2431,10.0
Lithakia,Greece,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hhb1,"32 km SW of Lithakiá, Greece",2018-10-25,6.752,954,0,37.5203,20.5565,14.0
Port McNeill,Canada,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hfh3,"237 km SW of Port McNeill, Canada",2018-10-22,3.87,655,0,49.297,-129.7237,10.0
Port McNeill,Canada,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hfgv,"210 km SW of Port McNeill, Canada",2018-10-22,4.421,776,1,49.3346,-129.289,10.0
Port McNeill,Canada,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hfgn,"223 km SW of Port McNeill, Canada",2018-10-22,3.84,669,1,49.2586,-129.4124,10.0
Tadine,New Caledonia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hclz,"171 km E of Tadine, New Caledonia",2018-10-16,3.84,650,1,-21.7427,169.5217,17.0
Ozernovskiy,Russia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hbkz,"269 km WNW of Ozernovskiy, Russia",2018-10-13,3.06,691,1,52.8549,153.2429,461.0
Severo Kuril sk,Russia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hacw,"154 km S of Severo-Kuril’sk, Russia",2018-10-10,4.17,650,1,49.2902,156.2968,20.0
Kimbe,Papua New Guinea,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000haa3,"119 km E of Kimbe, Papua New Guinea",2018-10-10,6.273,758,1,-5.7012,151.2046,39.0
Levuka,Fiji,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h4l1,"279 km E of Levuka, Fiji",2018-09-30,2.87,691,1,-18.3604,-178.0633,550.0
Palu,Indonesia,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h3p4,"72 km N of Palu, Indonesia",2018-09-28,8.367,2026,0,-0.2559,119.8462,20.0
the Fiji Islands,the Fiji Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us2000hfjk,south of the Fiji Islands,2018-09-16,1.45,651,0,-25.415,178.1991,576.0
Kermadec Islands ,Kermadec Islands ,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us2000hbpv,Kermadec Islands region,2018-09-10,3.91,735,0,-31.7447,-179.3728,115.0
Kirakira,Solomon Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us2000hbk9,"66 km NW of Kirakira, Solomon Islands",2018-09-09,5.604,651,1,-10.0207,161.5025,68.0
Levuka,Fiji,7.9,https://earthquake.usgs.gov/earthquakes/eventpage/us2000h9e2,"45 km S of Levuka, Fiji",2018-09-06,3.569,979,1,-18.4743,179.3502,670.81
Chitose,Japan,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us2000h8ty,"27 km ESE of Chitose, Japan",2018-09-05,8.541,1075,1,42.6861,141.9294,35.0
Tadine,New Caledonia,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us1000gjaz,"238 km ESE of Tadine, New Caledonia",2018-08-29,4.51,776,1,-22.0295,170.1262,21.43
Inapari,Peru,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us1000ggj4,"136 km W of Iñapari, Peru",2018-08-24,2.93,776,0,-11.0355,-70.8284,630.0
Lakatoro,Vanuatu,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us1000gf2g,"78 km E of Lakatoro, Vanuatu",2018-08-21,6.588,652,1,-16.0315,168.1428,9.0
Carupano,Venezuela,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us1000gez7,"40 km ENE of Carúpano, Venezuela",2018-08-21,6.105,1570,1,10.7731,-62.9019,146.82
